cleaned_data,full_household_identifier,time_of_interview,final_survey_outcome_code,final_survey_outcome,type_of_housing_unit_code,type_of_housing_unit,household_type_code,household_type,has_telephone_code,has_telephone,has_telephone_reachable_code,has_telephone_reachable,is_telephone_acceptable_code,is_telephone_acceptable,type_of_interview_code,type_of_interview,family_income_range_code,family_income_range,geo_div_code,geo_div,race_code,race
0001103399354531220170120100-10101-10111-1-1-10016498456010404030200020701101002-1-1-1-10360010338600001103000000-1-101-152004-10202-1023902-109-101-1010101020502057057057010000010101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010204000000-1-1000000040303010202-10208-142-117-10110-105-103-1010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-102-1-10200164984560023496969000000000000164984560016449742040201-1-1-100000100-100500000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000101001060101-1-1-1-1-1000101-1-1-100164851318290570000-100-116-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011033993545307011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,02,TELEPHONE,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,02,Black Only
0001103399354531220170120100-10101-10111-1-1-10016498456010404030200020701101002-1-1-1-10360010338600001103000000-1-1040115006-101-1-1023502-109-103-1010301020702057057057010000020702-1-102-102-1-1-1-1-1-10202-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-102-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-102-1-1-1-1-1-1-104-1-1-1-1-1-1-1-103-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-10301-1-1-1-1-100227115290000000000000000000000227115290000000000000000-1-1-100000100-100000000010001210000-1-1-100000001-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10001010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010100-1-1-10010603-1-1-1-1-1-1010101-1-1-1000000000000-100-100-100-1-1-1-1-1-1-101-101-101-150000100010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011033993545307011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,02,TELEPHONE,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,02,Black Only
0001103399354531220170120100-10101-10111-1-1-10016498456010404030200020701101002-1-1-1-10360010338600001103000000-1-1040115006-101-1-1023502-109-104-1010301020702057057057010000020702-1-102-102-1-1-1-1-1-10202-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-102-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-102-1-1-1-1-1-1-104-1-1-1-1-1-1-1-103-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-10301-1-1-1-1-100227115290000000000000000000000227115290000000000000000-1-1-100000100-100000000010001210000-1-1-100000001-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10001010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1010100-1-1-10010604-1-1-1-1-1-1010101-1-1-1000000000000-100-100-100-1-1-1-1-1-1-101-101-101-150000100010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011033993545307011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,02,TELEPHONE,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,02,Black Only
0001103399354531220170120100-10101-10111-1-1-10016498456010404030200020701101002-1-1-1-10360010338600001103000000-1-1040119006-10202-1023902-109-102-1010301020702057057057010000020402-1-102-1-1-1-1-1-1-1-101-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-101040608-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-102-10303701-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-10002-101-1-1-1-1037-1060311-1-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-102-1-10200299100990042597724000000000000299100990029217257000000-1-1-100000100-100000000010001000000-1-1-1000000-1-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-100000001000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1-1-1-1000101001060201-1-1-1-1-1000101-1-1-1002921725700-100-100-100-1-1-1-1-1-1-100-101-101-150000100010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011033993545307011,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,02,TELEPHONE,11,"40,000 TO 49,999",6,EAST SOUTH CENTRAL,02,Black Only
0001103438685671220170120100-10101-10014-1-1-10014712421010201080102020611101002-1-1-1-10360010138200001105000000-1-101-135001020202-1024301-109-101-1010101020102057057057010000010101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010404000000-1-1000000040303010204-10106-140-108-10110-102-101010101010205020200-100-100-100-10-1000830760-1-1000000-1000000-10-1-101-1-1-1-1-1-102-1-1020014712421002095331200593058460014712421001459789300000100-1-100000100-100500000000001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-10000010101-1-1010000010001-1-1-10001013536001-1-1-1-1-1-1010101-1-1-100146431447860232000-100-115-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011034386856706111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,00,Unknown,01,PERSONAL,14,"75,000 TO 99,999",6,EAST SOUTH CENTRAL,01,White Only
0001103438685671220170120100-10101-10014-1-1-10014712421010201080102020611101002-1-1-1-10360010138200001105000000-1-103-133001010102-1024401-109-102-1010201020102057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010403000000-1-1000000040303010204-10106-121-102-10105-101-101010101010203020200-100-100-100-10-1001000000-1-1000000-1000000-10-1-10202-1-1-1-1-102-1-1020014712421002191004600607632160015421313001506452900000100-1-100000100-100500000000001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-10000010101-1-1010000010000-1-1-10001013536002-1-1-1-1-1-1010101-1-1-100153970284090063000-100-106-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011034386856706111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,00,Unknown,01,PERSONAL,14,"75,000 TO 99,999",6,EAST SOUTH CENTRAL,01,White Only
0001103594243391220170120100-10101-10113-1-1-10014864568010204030103020711101002-1-1-1-10360010338600001103000000-1-101-156004-10202-1024302-109-101-1010101020502057057057010000010101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-1010302-137-1037-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11701010104-1-1-10-1-1-10102-1-1-1-10102010104000000-1-1000000040303010201-10207-141-110-10110-102-101-1010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-1-1-1-1-100148645680021169999000000000000148645680014863229000001-1-1-100000100-100500000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-15546601-1-1-1-1-1-1010101-1-1-100148525628190325500-100-116-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-101010120202000000000000000000000000000000000000000000000A,00011035942433907111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,02,Black Only
0001103594243391220170120100-10101-10113-1-1-10014864568010204030103020711101002-1-1-1-10360010338600001103000000-1-1040122006-10202-1024002-109-102-1010301020702057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010404000000-1-1000000040303010204-10106-146-113-10111-103-10201010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-10101020200240711690034281967000000000000240711690023736582000001-1-1-100000100-100000000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10000005546602-1-101-1-1-1010100-1-1-100237374728680404000-100-118-1-1-1-1-100-101-103-150000100010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011035942433907111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,02,Black Only
0001104154004291220170120100-10101-10110-1-1-10018323736010301080101020611102002-1-1-1-10360010266200001103000000-1-101-185101020101-1024301-109-101-1010101020102137137137040002010503-1-102-1-1-101-102-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-102-1-1-101-1-1-1-100183237360026420135007527256000185957240016342903000000-1-1-100000100-100500000000000000000-1-1-100000000-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1000101-1-1-11694701-1-1-1-1-1-1010101-1-1-1001882084100-100-100-100-1-1-105-1-1-100-1-1-1-1-150500101010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011041540042906111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,10,"35,000 TO 39,999",6,EAST SOUTH CENTRAL,01,White Only
0001104154004291220170120100-10101-10110-1-1-10018323736010301080101020611102002-1-1-1-10360010266200001103000000-1-103-185101010202-1024001-109-102-1010201020102057057057010000020503-1-102-1-1-101-102-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-10004-1-1-1-1-1-10-1-1-1000102-1-1-1-1-1-1-1-1000000-1-1000000-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-102-1-1-101-1-1-1-100183237360026096519007332439000183237360018520081000000-1-1-100000100-100500000000001000000-1-1-100000000-1-1-1-1-1-101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10101010101010101010101-1-1-1-1-1-1-1-1-1-1-10000-1-1-1-1-1-1000101-1-1-11694702-1-103-1-1-1010100-1-1-1001851957100-100-100-100-1-1-1-1-1-1-100-1-1-1-1-150500101010202020101010100000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011041540042906111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,10,"35,000 TO 39,999",6,EAST SOUTH CENTRAL,01,White Only
0001104154004291220170120100-10101-10110-1-1-10018323736010301080101020611102002-1-1-1-10360010266200001103000000-1-1040148006-10102-1023901-109-103-1010301020702057057137010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010401000000-1-1000000040303010204-10106-108-121-10104-109-106010101010101-10100-100-128002800040001414000-1-100029400000000-10-1-10202-1-1-1-1-102-1-102001856597800263778730073664709001856597800183280560000010101-100000100-100100000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-10000421141-1-1010100010000-1-1-1000101169470301-1-1-1-1-1000101-1-1-100184270313390822000-100-104-1-1-1-1-10001020101-100000000010202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011041540042906111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",01,HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF),01,YES,-1,Unknown,01,YES,01,PERSONAL,10,"35,000 TO 39,999",6,EAST SOUTH CENTRAL,01,White Only
0001104356490451220170120100-10101-10113-1-1-10019961498010504040101020711101002-1-1-1-10360010266200001103000000-1-101-173003-10202-1024001-109-101-1010101020402057057057010000010101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-1-4-1010-4-1-1-1-1-1-1-1-143-1043-1-10000203060102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11901010107-1-1-10-1-1-10102-1-1-1-10102010404000000-1-1000000040303010204-10106-142-111-10110-103-102010101010201020100-100-120362036043000875480-1-1000000-1000000-10-1-10202-1-1-1-1-1-1-1-1-1001996149800284290060078916553001996149800192529950000010101-100000100-100500000010001000000-1-1-1010000-101010001000140000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-14113411101-1-1011142010000-1-1-1-1-1-10354101-1-103-1-1-1010100-1-1-100192482548170360000-100-116-1-1-1-1-100-1-1-1-1-150500101500202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011043564904507111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,01,White Only
0001104356490451220170120100-10101-10113-1-1-10019961498010504040101020711101002-1-1-1-10360010266200001103000000-1-1040148006-10202-1024201-109-104-1010301020702057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010404000000-1-1000000040303010204-10106-132-117-10108-105-103010101010201-10100-100-115931593040000637200-1-1000000-1000000-10-1-10202-1-1-1-1-102-1-102002002865000285246430078819334002002865000198233010000010101-100000100-100000000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-14113411101-1-1010142010000-1-1-10001010354104-1-103-1-1-1010100-1-1-100198464736890586000-100-111-1-1-1-1-100-101-101-150000100500202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011043564904507111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,01,White Only
0001104356490451220170120100-10101-10113-1-1-10019961498010504040101020711101002-1-1-1-10360010266200001103000000-1-105-130006-10202-1023903-109-103-1010401020702057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010402000000-1-1000000040303010204-10106-122-109-10105-102-101010101010201-10100-100-136423642040001456800-1-1000000-1000000-10-1-10202-1-1-1-1-102-1-102001986278500282884190078329894001986278500200156050000010101-100000100-100500000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-14113411101-1-1010142010000-1-1-1000101035410301-1-1-1-1-1000101-1-1-100200192845390291000-100-107-1-1-1-1-100-1-1-1-10250500101000202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011043564904507111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,03,"American Indian, Alaskan Native Only"
0001104356490451220170120100-10101-10113-1-1-10019961498010504040101020711101002-1-1-1-10360010266200001103000000-1-108-1060-1-102-1-1-1-101-109-105-101040102-101057057057010000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-10-1-1-1000-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-1-1-1-1-1002900891400000000000000000000002900891400000000000000-1-1-1-100000100-1005000000000-1000000-1-1-1-100-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10354105-1-1-1-1-1-1000000-1-1-1000000000000-100-100-100-1-1-1-1-1-1-101-1-1-1-1-150500101-1-1-1-1-1-1-1-1-1-1-1-1-1-100-1-1-1-1-1-1-1-1-1-1-100000000000000000000000000000000000000000000A,00011043564904507111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,01,White Only
0001104356490451220170120100-10101-10113-1-1-10019961498010504040101020711101002-1-1-1-10360010266200001103000000-1-112-131006-10102-1023901-109-102-1000005020702057057057010000020101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-1-102-102-140-1040-1-1000020505-102030502-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11801010104-1-1-10-1-1-10102-1-1-1-10102010402000000-1-1000000040303010204-10106-122-117-10105-105-103010101010201-20100-100-113001300040000520000-1-1000000-1000000-10-1-10202-1-1-1-1-102-1-102001605901300228160680063275889001605901300156874760000010101-100000100-100500000010001000000-1-1-1010000-101010001000101000101010001000101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-11212411101-1-1010242010000-1-1-1000101035410201-1-1-1-1-1000101-1-1-100160337245390562000-100-107-1-1-1-1-100-1-1-1-10301010101000202020202020200000000000000-1-1-1-1-102-1-120000000000000000000000000000000000000000000000000A,00011043564904507111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,13,"60,000 TO 74,999",6,EAST SOUTH CENTRAL,01,White Only
0001104471709751220170120100-10101-10114-1-1-10030084516010204010101000811101002-1-1-1-10360010138200001105000000-1-101-124006-10202-1023902-109-101-1010101020702057057057010000010101-1-1-1-1-1-1-1-1-1-1-1-1-1-1-102-140-1-1040-1-1-10402-102-130-1030-1-1000020505-102030302-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-101-11601010104-100040-1-1-10104-1-1-1-1-1-1-10404000000-1-100000002-1-1010204-10106-145-114-10111-103-10201010100-1-1-1-100-100-100-100-10-1000000-10-1-1000000-1000000-10-1-1-1-1-1-1-1-1-102-1-10200300845160000000000000000000000300845160029666344010101-1-1-100000100-100500000010001000000-1-1-1010000-101010001000101000101010001000001-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000000-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1000101353150101-1-1-1-1-1000101-1-1-100296674568660423000-100-118-1-1-1-1-100-1-1-1-1-150500101010202020202020200000000000043-1-1-1-1-102-1-100000000000000000000000000000000000000000000000000A,00011044717097508111,2017/12,201,CAPI COMPLETE,01,"HOUSE, APARTMENT, FLAT",04,UNMARRIED CIV. FEMALE-PRIM FAM HHLDER,01,YES,-1,Unknown,01,YES,01,PERSONAL,14,"75,000 TO 99,999",6,EAST SOUTH CENTRAL,02,Black Only
